Phenotype,Peanut Allergy,,,,,,,
Immunoassay,RAST,,,,,,,
CPT,86003,95004,95010,95015,95024,95027,95028,95075
Reference link,https://phekb.org/sites/phenotype/files/Peanut_Allergy_algorithm_0.pdf,,,,,,,
Result,9500,,,,,,,
